movement_id,timestamp,week_id,movement_type,from_location,to_location,source_stock_id,target_stock_id,sabor,cantidad_latas,peso_bruto_kg,tara_kg,peso_neto_kg,notes
MOV_88731c7d1046,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0001,CAPUCCINO_GRANIZADO,1,7.735,0.38,7.355,
MOV_e0445f3a04b0,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0001,ANANA,1,7.82,0.38,7.44,
MOV_b94e84c82eb5,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0001,CHOCOLATE_MANI_CRUNCH,1,7.85,0.38,7.47,
MOV_23327b14cb43,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0001,QUINOTO,1,8.075,0.38,7.694999999999999,
MOV_da9f7842c317,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0001,CHOCOLATE_SUIZO,1,8.0,0.38,7.62,
MOV_c89dea779b97,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0001,CHOCOLATE,1,7.99,0.38,7.61,
MOV_e5e962b44df2,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0001,CHOCOLATE_BLANCO,1,8.005,0.38,7.625000000000001,
MOV_1a550471e993,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0001,CHOCOLATE_CON_ALMENDRAS,1,8.015,0.38,7.635000000000001,
MOV_c39acc426e72,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0001,GRIDO_MARROC,1,7.97,0.38,7.59,
MOV_2e196acfec04,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0001,CREMA_RUSA,1,7.9,0.38,7.52,
