stock_id,location,sabor,estado,cantidad_latas,kg_referencia_lata,peso_inicial_bruto_kg,tara_inicial_kg,peso_inicial_neto_kg,peso_actual_bruto_kg,tara_actual_kg,peso_actual_neto_kg,created_at,updated_at,active
SAL-0001,SALON,CAPUCCINO_GRANIZADO,AGOTADA,1,,7.735,0.38,7.355,0.38,0.38,0.0,2026-08-11T22:39:19.672376-03:00,2026-08-12T01:34:47.446146-03:00,False
SAL-0002,SALON,ANANA,CERRADA,1,,7.82,0.38,7.44,7.82,0.38,7.44,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0003,SALON,CHOCOLATE_MANI_CRUNCH,CERRADA,1,,7.85,0.38,7.47,7.85,0.38,7.47,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0004,SALON,QUINOTO,CERRADA,1,,8.075,0.38,7.694999999999999,8.075,0.38,7.694999999999999,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0005,SALON,CHOCOLATE_SUIZO,CERRADA,1,,8.0,0.38,7.62,8.0,0.38,7.62,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0006,SALON,CHOCOLATE,CERRADA,1,,7.99,0.38,7.61,7.99,0.38,7.61,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0007,SALON,CHOCOLATE_BLANCO,CERRADA,1,,8.005,0.38,7.625000000000001,8.005,0.38,7.625000000000001,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0008,SALON,CHOCOLATE_CON_ALMENDRAS,CERRADA,1,,8.015,0.38,7.635000000000001,8.015,0.38,7.635000000000001,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0009,SALON,GRIDO_MARROC,CERRADA,1,,7.97,0.38,7.59,7.97,0.38,7.59,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0010,SALON,CREMA_RUSA,CERRADA,1,,7.9,0.38,7.52,7.9,0.38,7.52,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0011,SALON,TIRAMISU,CERRADA,1,,7.915,0.38,7.535,7.915,0.38,7.535,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0012,SALON,SUPER_GRIDITO,CERRADA,1,,8.215,0.38,7.835,8.215,0.38,7.835,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0013,SALON,MENTA_GRANIZADO,CERRADA,1,,8.06,0.38,7.680000000000001,8.06,0.38,7.680000000000001,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0014,SALON,CEREZA,CERRADA,1,,7.775,0.38,7.395,7.775,0.38,7.395,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0015,SALON,CHOCOLATE_BLANCO_OREO,CERRADA,1,,7.965,0.38,7.585,7.965,0.38,7.585,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0016,SALON,DULCE_DE_LECHE,CERRADA,1,,7.885,0.38,7.505,7.885,0.38,7.505,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
