sabor,active,created_at,flavor_code
A,True,2026-08-12T00:53:05.372334-03:00,FL1
AA,True,2026-08-12T00:53:05.372334-03:00,AA
AMERICANA,True,2026-08-12T00:53:05.372334-03:00,AME
ANANA,True,2026-08-12T00:53:05.372334-03:00,ANA
B,True,2026-08-12T00:53:05.372334-03:00,FL2
BANANA,True,2026-08-12T00:53:05.372334-03:00,BAN
BB,True,2026-08-12T00:53:05.372334-03:00,BB
C,True,2026-08-12T00:53:05.372334-03:00,FL3
CAPUCCINO_GRANIZADO,True,2026-08-12T00:53:05.372334-03:00,CAP
CC,True,2026-08-12T00:53:05.372334-03:00,CC
CEREZA,True,2026-08-12T00:53:05.372334-03:00,CER
CHOCOLATE,True,2026-08-12T00:53:05.372334-03:00,CHO
CHOCOLATE_BLANCO,True,2026-08-12T00:53:05.372334-03:00,CBL
CHOCOLATE_BLANCO_OREO,True,2026-08-12T00:53:05.372334-03:00,CBO
CHOCOLATE_CON_ALMENDRAS,True,2026-08-12T00:53:05.372334-03:00,ALM
CHOCOLATE_MANI_CRUNCH,True,2026-08-12T00:53:05.372334-03:00,CMC
CHOCOLATE_SUIZO,True,2026-08-12T00:53:05.372334-03:00,CSU
CREMA_COOKIE,True,2026-08-12T00:53:05.372334-03:00,CCK
CREMA_RUSA,True,2026-08-12T00:53:05.372334-03:00,CRU
D,True,2026-08-12T00:53:05.372334-03:00,FL4
DD,True,2026-08-12T00:53:05.372334-03:00,DD
DULCE_DE_LECHE,True,2026-08-12T00:53:05.372334-03:00,DDL
DULCE_DE_LECHE_BROWNIE,True,2026-08-12T00:53:05.372334-03:00,BRW
DULCE_DE_LECHE_CON_NUEZ,True,2026-08-12T00:53:05.372334-03:00,DLN
DULCE_DE_LECHE_GRANIZADO,True,2026-08-12T00:53:05.372334-03:00,DLG
DURAZNO_A_LA_CREMA,True,2026-08-12T00:53:05.372334-03:00,DAC
E,True,2026-08-12T00:53:05.372334-03:00,FL5
EE,True,2026-08-12T00:53:05.372334-03:00,EE
F,True,2026-08-12T00:53:05.372334-03:00,FL6
FRUTILLA_A_LA_CREMA,True,2026-08-12T00:53:05.372334-03:00,FAC
G,True,2026-08-12T00:53:05.372334-03:00,FL7
GRANIZADO,True,2026-08-12T00:53:05.372334-03:00,GRA
GRIDO_MARROC,True,2026-08-12T00:53:05.372334-03:00,MAR
H,True,2026-08-12T00:53:05.372334-03:00,FL8
HH,True,2026-08-12T00:53:05.372334-03:00,HH
I,True,2026-08-12T00:53:05.372334-03:00,FL9
II,True,2026-08-12T00:53:05.372334-03:00,II
J,True,2026-08-12T00:53:05.372334-03:00,FL10
JJ,True,2026-08-12T00:53:05.372334-03:00,JJ
K,True,2026-08-12T00:53:05.372334-03:00,FL11
KK,True,2026-08-12T00:53:05.372334-03:00,KK
L,True,2026-08-12T00:53:05.372334-03:00,FL12
LL,True,2026-08-12T00:53:05.372334-03:00,LL
M,True,2026-08-12T00:53:05.372334-03:00,FL13
MASCARPONE,True,2026-08-12T00:53:05.372334-03:00,MAS
MENTA_GRANIZADO,True,2026-08-12T00:53:05.372334-03:00,MEN
MM,True,2026-08-12T00:53:05.372334-03:00,MM
N,True,2026-08-12T00:53:05.372334-03:00,FL14
O,True,2026-08-12T00:53:05.372334-03:00,FL15
P,True,2026-08-12T00:53:05.372334-03:00,FL16
Q,True,2026-08-12T00:53:05.372334-03:00,FL17
QUINOTO,True,2026-08-12T00:53:05.372334-03:00,QUI
R,True,2026-08-12T00:53:05.372334-03:00,FL18
S,True,2026-08-12T00:53:05.372334-03:00,FL19
SUPER_DULCE_DE_LECHE,True,2026-08-12T00:53:05.372334-03:00,SDL
SUPER_GRIDITO,True,2026-08-12T00:53:05.372334-03:00,SGI
T,True,2026-08-12T00:53:05.372334-03:00,FL20
TIRAMISU,True,2026-08-12T00:53:05.372334-03:00,TIR
TRAMONTANA,True,2026-08-12T00:53:05.372334-03:00,TRA
U,True,2026-08-12T00:53:05.372334-03:00,FL21
V,True,2026-08-12T00:53:05.372334-03:00,FL22
W,True,2026-08-12T00:53:05.372334-03:00,FL23
Y,True,2026-08-12T00:53:05.372334-03:00,FL24
Z,True,2026-08-12T00:53:05.372334-03:00,FL25
