sabor,active,created_at
A,True,2026-08-12T00:53:05.372334-03:00
AA,True,2026-08-12T00:53:05.372334-03:00
AMERICANA,True,2026-08-12T00:53:05.372334-03:00
ANANA,True,2026-08-12T00:53:05.372334-03:00
B,True,2026-08-12T00:53:05.372334-03:00
BANANA,True,2026-08-12T00:53:05.372334-03:00
BB,True,2026-08-12T00:53:05.372334-03:00
C,True,2026-08-12T00:53:05.372334-03:00
CAPUCCINO_GRANIZADO,True,2026-08-12T00:53:05.372334-03:00
CC,True,2026-08-12T00:53:05.372334-03:00
CEREZA,True,2026-08-12T00:53:05.372334-03:00
CHOCOLATE,True,2026-08-12T00:53:05.372334-03:00
CHOCOLATE_BLANCO,True,2026-08-12T00:53:05.372334-03:00
CHOCOLATE_BLANCO_OREO,True,2026-08-12T00:53:05.372334-03:00
CHOCOLATE_CON_ALMENDRAS,True,2026-08-12T00:53:05.372334-03:00
CHOCOLATE_MANI_CRUNCH,True,2026-08-12T00:53:05.372334-03:00
CHOCOLATE_SUIZO,True,2026-08-12T00:53:05.372334-03:00
CREMA_COOKIE,True,2026-08-12T00:53:05.372334-03:00
CREMA_RUSA,True,2026-08-12T00:53:05.372334-03:00
D,True,2026-08-12T00:53:05.372334-03:00
DD,True,2026-08-12T00:53:05.372334-03:00
DULCE_DE_LECHE,True,2026-08-12T00:53:05.372334-03:00
DULCE_DE_LECHE_BROWNIE,True,2026-08-12T00:53:05.372334-03:00
DULCE_DE_LECHE_CON_NUEZ,True,2026-08-12T00:53:05.372334-03:00
DULCE_DE_LECHE_GRANIZADO,True,2026-08-12T00:53:05.372334-03:00
DURAZNO_A_LA_CREMA,True,2026-08-12T00:53:05.372334-03:00
E,True,2026-08-12T00:53:05.372334-03:00
EE,True,2026-08-12T00:53:05.372334-03:00
F,True,2026-08-12T00:53:05.372334-03:00
FRUTILLA_A_LA_CREMA,True,2026-08-12T00:53:05.372334-03:00
G,True,2026-08-12T00:53:05.372334-03:00
GRANIZADO,True,2026-08-12T00:53:05.372334-03:00
GRIDO_MARROC,True,2026-08-12T00:53:05.372334-03:00
H,True,2026-08-12T00:53:05.372334-03:00
HH,True,2026-08-12T00:53:05.372334-03:00
I,True,2026-08-12T00:53:05.372334-03:00
II,True,2026-08-12T00:53:05.372334-03:00
J,True,2026-08-12T00:53:05.372334-03:00
JJ,True,2026-08-12T00:53:05.372334-03:00
K,True,2026-08-12T00:53:05.372334-03:00
KK,True,2026-08-12T00:53:05.372334-03:00
L,True,2026-08-12T00:53:05.372334-03:00
LL,True,2026-08-12T00:53:05.372334-03:00
M,True,2026-08-12T00:53:05.372334-03:00
MASCARPONE,True,2026-08-12T00:53:05.372334-03:00
MENTA_GRANIZADO,True,2026-08-12T00:53:05.372334-03:00
MM,True,2026-08-12T00:53:05.372334-03:00
N,True,2026-08-12T00:53:05.372334-03:00
O,True,2026-08-12T00:53:05.372334-03:00
P,True,2026-08-12T00:53:05.372334-03:00
Q,True,2026-08-12T00:53:05.372334-03:00
QUINOTO,True,2026-08-12T00:53:05.372334-03:00
R,True,2026-08-12T00:53:05.372334-03:00
S,True,2026-08-12T00:53:05.372334-03:00
SUPER_DULCE_DE_LECHE,True,2026-08-12T00:53:05.372334-03:00
SUPER_GRIDITO,True,2026-08-12T00:53:05.372334-03:00
T,True,2026-08-12T00:53:05.372334-03:00
TIRAMISU,True,2026-08-12T00:53:05.372334-03:00
TRAMONTANA,True,2026-08-12T00:53:05.372334-03:00
U,True,2026-08-12T00:53:05.372334-03:00
V,True,2026-08-12T00:53:05.372334-03:00
W,True,2026-08-12T00:53:05.372334-03:00
Y,True,2026-08-12T00:53:05.372334-03:00
Z,True,2026-08-12T00:53:05.372334-03:00
