stock_id,sabor,estado,source_camera_stock_id,ingresada_salon_at,kg_referencia_lata,peso_inicial_bruto_kg,tara_inicial_kg,peso_inicial_neto_kg,opened_at,opened_operation_id,peso_actual_bruto_kg,tara_actual_kg,peso_actual_neto_kg,finished_at,peso_final_bruto_kg,tara_final_kg,residuo_final_kg,finished_operation_id,created_at,updated_at,active
SAL-0001,CAPUCCINO_GRANIZADO,AGOTADA,,,,7.735,0.38,7.355,2026-08-12T01:33:06.547601-03:00,,0.4,0.4,0.0,2026-08-12T14:46:42.297139-03:00,0.4,0.4,0.02,FINALIZA_63138b30762a,2026-08-11T22:39:19.672376-03:00,2026-08-12T14:46:42.297139-03:00,False
SAL-0002,ANANA,CERRADA,,,,7.82,0.38,7.44,,,7.82,0.38,7.44,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0003,CHOCOLATE_MANI_CRUNCH,CERRADA,,,,7.85,0.38,7.47,,,7.85,0.38,7.47,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0004,QUINOTO,CERRADA,,,,8.075,0.38,7.694999999999999,,,8.075,0.38,7.694999999999999,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0005,CHOCOLATE_SUIZO,CERRADA,,,,8.0,0.38,7.62,,,8.0,0.38,7.62,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0006,CHOCOLATE,CERRADA,,,,7.99,0.38,7.61,,,7.99,0.38,7.61,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0007,CHOCOLATE_BLANCO,CERRADA,,,,8.005,0.38,7.625000000000001,,,8.005,0.38,7.625000000000001,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0008,CHOCOLATE_CON_ALMENDRAS,CERRADA,,,,8.015,0.38,7.635000000000001,,,8.015,0.38,7.635000000000001,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0009,GRIDO_MARROC,CERRADA,,,,7.97,0.38,7.59,,,7.97,0.38,7.59,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0010,CREMA_RUSA,CERRADA,,,,7.9,0.38,7.52,,,7.9,0.38,7.52,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0011,TIRAMISU,CERRADA,,,,7.915,0.38,7.535,,,7.915,0.38,7.535,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0012,SUPER_GRIDITO,CERRADA,,,,8.215,0.38,7.835,,,8.215,0.38,7.835,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0013,MENTA_GRANIZADO,CERRADA,,,,8.06,0.38,7.680000000000001,,,8.06,0.38,7.680000000000001,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0014,CEREZA,CERRADA,,,,7.775,0.38,7.395,,,7.775,0.38,7.395,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0015,CHOCOLATE_BLANCO_OREO,CERRADA,,,,7.965,0.38,7.585,,,7.965,0.38,7.585,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0016,DULCE_DE_LECHE,CERRADA,,,,7.885,0.38,7.505,,,7.885,0.38,7.505,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0017,DULCE_DE_LECHE_GRANIZADO,CERRADA,,,,7.715,0.38,7.335,,,7.715,0.38,7.335,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0018,DULCE_DE_LECHE_CON_NUEZ,CERRADA,,,,7.885,0.38,7.505,,,7.885,0.38,7.505,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0019,SUPER_DULCE_DE_LECHE,CERRADA,,,,8.02,0.38,7.64,,,8.02,0.38,7.64,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
