camera_stock_id,sabor,estado,kg_referencia_lata,ingresada_camera_at,moved_to_salon_at,target_salon_stock_id,legacy_batch_id,created_at,updated_at,active
CAM-BAN-000001,BANANA,MOVIDA_SALON,7.58,2026-08-12T17:26:59.244854-03:00,2026-08-23T14:25:31.870099-03:00,SAL-000077,,2026-08-12T17:26:59.244854-03:00,2026-08-23T14:25:31.870099-03:00,False
CAM-BAN-000002,BANANA,DISPONIBLE,7.8,2026-08-13T11:46:33.547789-03:00,,,,2026-08-13T11:46:33.547789-03:00,2026-08-13T11:46:33.547789-03:00,True
CAM-BAN-000003,BANANA,DISPONIBLE,7.8,2026-08-13T11:46:33.547789-03:00,,,,2026-08-13T11:46:33.547789-03:00,2026-08-13T11:46:33.547789-03:00,True
CAM-BAN-000004,BANANA,DISPONIBLE,7.8,2026-08-13T11:46:33.547789-03:00,,,,2026-08-13T11:46:33.547789-03:00,2026-08-13T11:46:33.547789-03:00,True
CAM-BAN-000005,BANANA,DISPONIBLE,7.8,2026-08-13T11:46:33.547789-03:00,,,,2026-08-13T11:46:33.547789-03:00,2026-08-13T11:46:33.547789-03:00,True
CAM-BAN-000006,BANANA,DISPONIBLE,7.8,2026-08-13T11:46:37.911650-03:00,,,,2026-08-13T11:46:37.911650-03:00,2026-08-13T11:46:37.911650-03:00,True
CAM-BAN-000007,BANANA,DISPONIBLE,7.8,2026-08-13T11:46:37.911650-03:00,,,,2026-08-13T11:46:37.911650-03:00,2026-08-13T11:46:37.911650-03:00,True
CAM-BAN-000008,BANANA,DISPONIBLE,7.8,2026-08-13T11:46:37.911650-03:00,,,,2026-08-13T11:46:37.911650-03:00,2026-08-13T11:46:37.911650-03:00,True
CAM-BAN-000009,BANANA,ANULADA,7.8,2026-08-13T11:46:37.911650-03:00,,,,2026-08-13T11:46:37.911650-03:00,2026-08-17T21:21:05.783465-03:00,False
CAM-SGI-000001,SUPER_GRIDITO,ANULADA,7.8,2026-08-14T19:50:05.352675-03:00,,,,2026-08-14T19:50:05.352675-03:00,2026-08-17T20:58:55.720085-03:00,False
CAM-SGI-000002,SUPER_GRIDITO,ANULADA,7.8,2026-08-14T19:50:05.352675-03:00,,,,2026-08-14T19:50:05.352675-03:00,2026-08-17T20:58:55.720085-03:00,False
CAM-SGI-000003,SUPER_GRIDITO,DISPONIBLE,7.8,2026-08-14T19:50:05.352675-03:00,,,,2026-08-14T19:50:05.352675-03:00,2026-08-14T19:50:05.352675-03:00,True
CAM-VAI-000001,VAINILLA,DISPONIBLE,7.8,2026-08-14T19:50:34.467289-03:00,,,,2026-08-14T19:50:34.467289-03:00,2026-08-14T19:50:34.467289-03:00,True
CAM-VAI-000002,VAINILLA,DISPONIBLE,7.8,2026-08-14T19:50:34.467289-03:00,,,,2026-08-14T19:50:34.467289-03:00,2026-08-14T19:50:34.467289-03:00,True
CAM-VAI-000003,VAINILLA,DISPONIBLE,7.8,2026-08-14T19:50:34.467289-03:00,,,,2026-08-14T19:50:34.467289-03:00,2026-08-14T19:50:34.467289-03:00,True
CAM-VAI-000004,VAINILLA,ANULADA,7.8,2026-08-14T19:50:34.467289-03:00,,,,2026-08-14T19:50:34.467289-03:00,2026-08-17T21:00:01.837770-03:00,False
CAM-CRU-000001,CREMA_RUSA,DISPONIBLE,7.8,2026-08-14T19:50:50.619069-03:00,,,,2026-08-14T19:50:50.619069-03:00,2026-08-14T19:50:50.619069-03:00,True
CAM-CRU-000002,CREMA_RUSA,DISPONIBLE,7.8,2026-08-14T19:50:50.619069-03:00,,,,2026-08-14T19:50:50.619069-03:00,2026-08-14T19:50:50.619069-03:00,True
