sabor,flavor_code,active,created_at
AMERICANA,AME,True,2026-08-12T00:53:05.372334-03:00
ANANA,ANA,True,2026-08-12T00:53:05.372334-03:00
BANANA,BAN,True,2026-08-12T00:53:05.372334-03:00
CAPUCCINO_GRANIZADO,CAP,True,2026-08-12T00:53:05.372334-03:00
CEREZA,CER,True,2026-08-12T00:53:05.372334-03:00
CHOCOLATE,CHO,True,2026-08-12T00:53:05.372334-03:00
CHOCOLATE_BLANCO,CBL,True,2026-08-12T00:53:05.372334-03:00
CHOCOLATE_BLANCO_OREO,CBO,True,2026-08-12T00:53:05.372334-03:00
CHOCOLATE_CON_ALMENDRAS,ALM,True,2026-08-12T00:53:05.372334-03:00
CHOCOLATE_MANI_CRUNCH,CMC,True,2026-08-12T00:53:05.372334-03:00
CHOCOLATE_SUIZO,CSU,True,2026-08-12T00:53:05.372334-03:00
CREMA_COOKIE,CCK,True,2026-08-12T00:53:05.372334-03:00
CREMA_RUSA,CRU,True,2026-08-12T00:53:05.372334-03:00
DULCE_DE_LECHE,DDL,True,2026-08-12T00:53:05.372334-03:00
DULCE_DE_LECHE_BROWNIE,BRW,True,2026-08-12T00:53:05.372334-03:00
DULCE_DE_LECHE_CON_NUEZ,DLN,True,2026-08-12T00:53:05.372334-03:00
DULCE_DE_LECHE_GRANIZADO,DLG,True,2026-08-12T00:53:05.372334-03:00
DURAZNO_A_LA_CREMA,DAC,True,2026-08-12T00:53:05.372334-03:00
FRUTILLA_A_LA_CREMA,FAC,True,2026-08-12T00:53:05.372334-03:00
GRANIZADO,GRA,True,2026-08-12T00:53:05.372334-03:00
GRIDO_MARROC,MAR,True,2026-08-12T00:53:05.372334-03:00
MASCARPONE,MAS,True,2026-08-12T00:53:05.372334-03:00
MENTA_GRANIZADO,MEN,True,2026-08-12T00:53:05.372334-03:00
QUINOTO,QUI,True,2026-08-12T00:53:05.372334-03:00
SUPER_DULCE_DE_LECHE,SDL,True,2026-08-12T00:53:05.372334-03:00
SUPER_GRIDITO,SGI,True,2026-08-12T00:53:05.372334-03:00
TIRAMISU,TIR,True,2026-08-12T00:53:05.372334-03:00
TRAMONTANA,TRA,True,2026-08-12T00:53:05.372334-03:00
FLAN,FLN,True,2026-08-14T19:47:36.056136-03:00
VAINILLA,VAI,True,2026-08-14T19:48:00.730371-03:00
SAMBAYON,SAM,True,2026-08-14T19:48:42.662318-03:00
FRUTILLA_AL_AGUA,FAA,True,2026-08-14T19:59:12.338915-03:00
FRUTOS_ROJOS_AL_AGUA,FRO,True,2026-08-14T19:59:27.064747-03:00
MANGO_AL_AGUA,MAN,True,2026-08-14T19:59:51.071870-03:00
LIMON_AL_AGUA,LIM,True,2026-08-14T20:00:06.788915-03:00
MARACUYA_AL_AGUA,MRY,True,2026-08-14T20:00:45.365088-03:00
NARANJA_AL_AGUA,NAR,True,2026-08-14T20:00:58.406793-03:00
CHOCOLATE_DUBAI,DUB,True,2026-08-14T20:54:25.073873-03:00
SELECCION_ARGENTINA,SEL,True,2026-08-14T21:04:43.137275-03:00
A,FL1,True,2026-08-17T19:50:11.048890-03:00
AA,AA,True,2026-08-17T19:50:11.048890-03:00
B,FL2,True,2026-08-17T19:50:11.048890-03:00
BB,BB,True,2026-08-17T19:50:11.048890-03:00
C,FL3,True,2026-08-17T19:50:11.048890-03:00
CC,CC,True,2026-08-17T19:50:11.048890-03:00
D,FL4,True,2026-08-17T19:50:11.048890-03:00
DD,DD,True,2026-08-17T19:50:11.048890-03:00
E,FL5,True,2026-08-17T19:50:11.048890-03:00
EE,EE,True,2026-08-17T19:50:11.048890-03:00
F,FL6,True,2026-08-17T19:50:11.048890-03:00
G,FL7,True,2026-08-17T19:50:11.048890-03:00
H,FL8,True,2026-08-17T19:50:11.048890-03:00
HH,HH,True,2026-08-17T19:50:11.048890-03:00
I,FL9,True,2026-08-17T19:50:11.048890-03:00
II,II,True,2026-08-17T19:50:11.048890-03:00
J,FL10,True,2026-08-17T19:50:11.048890-03:00
JJ,JJ,True,2026-08-17T19:50:11.048890-03:00
K,FL11,True,2026-08-17T19:50:11.048890-03:00
KK,KK,True,2026-08-17T19:50:11.048890-03:00
L,FL12,True,2026-08-17T19:50:11.048890-03:00
LL,LL,True,2026-08-17T19:50:11.048890-03:00
M,FL13,True,2026-08-17T19:50:11.048890-03:00
MM,MM,True,2026-08-17T19:50:11.048890-03:00
N,FL14,True,2026-08-17T19:50:11.048890-03:00
O,FL15,True,2026-08-17T19:50:11.048890-03:00
P,FL16,True,2026-08-17T19:50:11.048890-03:00
Q,FL17,True,2026-08-17T19:50:11.048890-03:00
R,FL18,True,2026-08-17T19:50:11.048890-03:00
S,FL19,True,2026-08-17T19:50:11.048890-03:00
T,FL20,True,2026-08-17T19:50:11.048890-03:00
U,FL21,True,2026-08-17T19:50:11.048890-03:00
V,FL22,True,2026-08-17T19:50:11.048890-03:00
W,FL23,True,2026-08-17T19:50:11.048890-03:00
Y,FL24,True,2026-08-17T19:50:11.048890-03:00
Z,FL25,True,2026-08-17T19:50:11.048890-03:00
