product_code,categoria,subcategoria,producto,packaging_mode,cajas_por_pack,unidades_por_pack,unidades_por_caja,active,created_at,updated_at
PROD-ESP-000001,LINEAS_ESPECIALES,SIN_AZUCAR,SIN_AZUCAR_CHOCOLATE,CAJA_UNIDADES,,,12.0,True,2026-08-18T13:13:42.856130-03:00,2026-08-18T13:13:42.856130-03:00
PROD-BOM-000001,BOMBONES,,BOMBON_ESCOCES,PACK_CAJAS_UNIDADES,6.0,,8.0,True,2026-08-18T13:14:39.407931-03:00,2026-08-18T13:14:39.407931-03:00
PROD-TOR-000001,TORTAS,,TORTA_GRIDO,PACK_UNIDADES,,6.0,,True,2026-08-18T13:15:22.871769-03:00,2026-08-18T13:15:22.871769-03:00
PROD-ESP-000002,LINEAS_ESPECIALES,SIN_AZUCAR,SIN_AZUCAR_FRUTILLA,CAJA_UNIDADES,,,12.0,True,2026-08-18T15:30:35.403186-03:00,2026-08-18T15:30:35.403186-03:00
PROD-ESP-000003,LINEAS_ESPECIALES,YOGURES_HELADOS,YOG_MANGO_MARACUYA,CAJA_UNIDADES,,,12.0,True,2026-08-18T15:32:54.631469-03:00,2026-08-18T15:32:54.631469-03:00
PROD-ESP-000004,LINEAS_ESPECIALES,YOGURES_HELADOS,YOG_FRUTILLA,CAJA_UNIDADES,,,12.0,True,2026-08-18T15:33:12.204944-03:00,2026-08-18T15:33:12.204944-03:00
PROD-ESP-000005,LINEAS_ESPECIALES,YOGURES_HELADOS,YOG_FRUTOS_DEL_BOSQUE,CAJA_UNIDADES,,,12.0,True,2026-08-18T15:33:28.711445-03:00,2026-08-18T15:33:28.711445-03:00
PROD-ESP-000006,LINEAS_ESPECIALES,VEGANOS,VEGANO_VAINILLA,CAJA_UNIDADES,,,12.0,True,2026-08-18T15:34:49.058694-03:00,2026-08-18T15:34:49.058694-03:00
PROD-ESP-000007,LINEAS_ESPECIALES,VEGANOS,VEGANO_MANI,CAJA_UNIDADES,,,12.0,True,2026-08-18T15:35:07.068437-03:00,2026-08-18T15:35:07.068437-03:00
PROD-ESP-000008,LINEAS_ESPECIALES,VEGANOS,VEGANO_CHOCOLATE,CAJA_UNIDADES,,,12.0,True,2026-08-18T15:35:22.280060-03:00,2026-08-18T15:35:22.280060-03:00
