stock_id,sabor,estado,source_camera_stock_id,ingresada_salon_at,kg_referencia_lata,peso_inicial_bruto_kg,tara_inicial_kg,peso_inicial_neto_kg,opened_at,opened_operation_id,peso_actual_bruto_kg,tara_actual_kg,peso_actual_neto_kg,finished_at,peso_final_bruto_kg,tara_final_kg,residuo_final_kg,finished_operation_id,created_at,updated_at,active
SAL-000001,CAPUCCINO_GRANIZADO,AGOTADA,,,,7.735,0.38,7.355,2026-08-12T01:33:06.547601-03:00,,0.4,0.4,0.0,2026-08-12T14:46:42.297139-03:00,0.4,0.4,0.02,FINALIZA-000001,2026-08-11T22:39:19.672376-03:00,2026-08-12T14:46:42.297139-03:00,False
SAL-000002,SELECCION_ARGENTINA,ABIERTA,,,,7.82,0.38,7.44,,,2.29,0.378,1.912,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-26T19:01:39.978354-03:00,True
SAL-000003,CHOCOLATE_MANI_CRUNCH,CERRADA,,,,7.85,0.38,7.47,,,8.14,0.378,7.762,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-26T19:01:39.978354-03:00,True
SAL-000004,QUINOTO,ABIERTA,,,,8.075,0.38,7.694999999999999,2026-08-23T14:22:05.041607-03:00,RECAMBIO-000007,8.55,0.378,8.172,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-26T19:01:39.978354-03:00,True
SAL-000005,CHOCOLATE_SUIZO,CERRADA,,,,8.0,0.38,7.62,,,8.015,0.378,7.637,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-26T19:01:39.978354-03:00,True
SAL-000006,CHOCOLATE,AGOTADA,,,,7.99,0.38,7.61,2026-08-19T00:54:50.339120-03:00,RECAMBIO-000002,0.425,0.425,0.0,2026-08-24T22:32:28.437203-03:00,0.425,0.425,0.045,RECAMBIO-000016,2026-08-11T22:39:19.672376-03:00,2026-08-24T22:32:28.437203-03:00,False
SAL-000007,CHOCOLATE_BLANCO,CERRADA,,,,8.005,0.38,7.625000000000001,,,8.0,0.378,7.622,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-26T19:01:39.978354-03:00,True
SAL-000008,CHOCOLATE_CON_ALMENDRAS,ABIERTA,,,,8.015,0.38,7.635000000000001,2026-08-23T14:17:29.527810-03:00,RECAMBIO-000006,6.115,0.378,5.737,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-26T19:01:39.978354-03:00,True
SAL-000009,GRIDO_MARROC,CERRADA,,,,7.97,0.38,7.59,,,8.03,0.378,7.652,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-26T19:01:39.978354-03:00,True
SAL-000010,CREMA_RUSA,CERRADA,,,,7.9,0.38,7.52,,,8.165,0.378,7.787,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-26T19:01:39.978354-03:00,True
SAL-000011,TIRAMISU,CERRADA,,,,7.915,0.38,7.535,,,7.895,0.378,7.517,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-26T19:01:39.978354-03:00,True
SAL-000012,SUPER_GRIDITO,CERRADA,,,,8.215,0.38,7.835,,,7.96,0.378,7.582,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-26T19:01:39.978354-03:00,True
SAL-000013,MENTA_GRANIZADO,CERRADA,,,,8.06,0.38,7.680000000000001,,,8.205,0.378,7.827,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-26T19:01:39.978354-03:00,True
SAL-000014,CAPUCCINO_GRANIZADO,ABIERTA,,,,7.775,0.38,7.395,2026-08-24T22:28:28.724322-03:00,RECAMBIO-000014,8.555,0.378,8.177,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-26T19:01:39.978354-03:00,True
SAL-000015,CHOCOLATE_BLANCO_OREO,ABIERTA,,,,7.965,0.38,7.585,2026-08-23T14:13:52.505637-03:00,RECAMBIO-000005,6.67,0.378,6.292,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-26T19:01:39.978354-03:00,True
SAL-000016,DULCE_DE_LECHE,CERRADA,,,,7.885,0.38,7.505,,,7.87,0.378,7.492,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-26T19:01:39.978354-03:00,True
SAL-000017,DULCE_DE_LECHE_GRANIZADO,ABIERTA,,,,7.715,0.38,7.335,2026-08-23T17:25:29.352689-03:00,RECAMBIO-000013,7.085,0.378,6.707,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-26T19:01:39.978354-03:00,True
