movement_id,operation_id,timestamp,week_id,movement_type,from_location,to_location,source_stock_id,target_stock_id,sabor,cantidad_latas,peso_bruto_kg,tara_kg,peso_neto_kg,tara_final_kg,residuo_final_kg,notes
MOV-000001,,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0001,CAPUCCINO_GRANIZADO,1,7.735,0.38,7.355,,,
MOV-000002,,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0002,ANANA,1,7.82,0.38,7.44,,,
MOV-000003,,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0003,CHOCOLATE_MANI_CRUNCH,1,7.85,0.38,7.47,,,
MOV-000004,,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0004,QUINOTO,1,8.075,0.38,7.694999999999999,,,
MOV-000005,,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0005,CHOCOLATE_SUIZO,1,8.0,0.38,7.62,,,
MOV-000006,,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0006,CHOCOLATE,1,7.99,0.38,7.61,,,
MOV-000007,,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0007,CHOCOLATE_BLANCO,1,8.005,0.38,7.625000000000001,,,
MOV-000008,,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0008,CHOCOLATE_CON_ALMENDRAS,1,8.015,0.38,7.635000000000001,,,
MOV-000009,,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0009,GRIDO_MARROC,1,7.97,0.38,7.59,,,
MOV-000010,,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0010,CREMA_RUSA,1,7.9,0.38,7.52,,,
MOV-000011,,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0011,TIRAMISU,1,7.915,0.38,7.535,,,
MOV-000012,,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0012,SUPER_GRIDITO,1,8.215,0.38,7.835,,,
MOV-000013,,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0013,MENTA_GRANIZADO,1,8.06,0.38,7.680000000000001,,,
MOV-000014,,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0014,CEREZA,1,7.775,0.38,7.395,,,
MOV-000015,,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0015,CHOCOLATE_BLANCO_OREO,1,7.965,0.38,7.585,,,
MOV-000016,,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0016,DULCE_DE_LECHE,1,7.885,0.38,7.505,,,
MOV-000017,,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0017,DULCE_DE_LECHE_GRANIZADO,1,7.715,0.38,7.335,,,
MOV-000018,,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0018,DULCE_DE_LECHE_CON_NUEZ,1,7.885,0.38,7.505,,,
MOV-000019,,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0019,SUPER_DULCE_DE_LECHE,1,8.02,0.38,7.64,,,
MOV-000020,,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0020,MASCARPONE,1,7.8,0.38,7.42,,,
MOV-000021,,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0021,DULCE_DE_LECHE_BROWNIE,1,8.085,0.38,7.705000000000001,,,
MOV-000022,,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0022,CREMA_COOKIE,1,7.915,0.38,7.535,,,
MOV-000023,,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0023,AMERICANA,1,8.065,0.38,7.685,,,
MOV-000024,,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0024,TRAMONTANA,1,8.105,0.38,7.725,,,
MOV-000025,,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0025,GRANIZADO,1,8.175,0.38,7.795000000000001,,,
MOV-000026,,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0026,BANANA,1,8.095,0.38,7.715000000000001,,,
MOV-000027,,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0027,FRUTILLA_A_LA_CREMA,1,8.095,0.38,7.715000000000001,,,
MOV-000028,,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0028,DURAZNO_A_LA_CREMA,1,7.65,0.38,7.27,,,
MOV-000029,,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0029,a,1,6.47,0.38,6.09,,,
MOV-000030,,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0030,b,1,7.96,0.38,7.58,,,
